,Awards And Honors
0,"Outstanding Nurse Practitioner Regional Award Central Alabama , 2014"
1,"Who's Who in America , 2004"
2,"Who's Who of American Women , 2002"
3,"Who's Who in America , 2002"
4,"Who's Who in America , 2001"
5,"Who's Who of American Women , 2000"
6,"Who's Who in Medicine and Healthcare , 2000"
7,"Outstanding Young Women of America , 1997"
8,"Who's Who in Medicine and Healthcare , 1997"
9,"Who's Who in American Nursing , 1996"
10,"Who's Who in Medicine and Healthcare , 1996"
11,"Who's Who in American Nursing , 1995"
12,"Who's Who in American Nursing , 1994"
13,"Who's Who in American Nursing , 1993"
14,"Student Research Award, Health Sciences Section , 1988"
15,"Outstanding Young Women of America , 1986"
16,"The National Honor Society of Nursing , 1985"
